# SRC: SgrA 
# RA: 17 h 45 m 40.0409 s
# DEC: -28 deg 59 m 31.8820 s
# MJD: 48277.0000 - 48278.0069 
# RF: 22.5000 GHz 
# BW: 4.0000 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# -------------------------------------------------------------------------------------------------------------------------------------------------
# time (hr)   T1     T2    tint    U (lambda)       V (lambda)       Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
00.00000000   ALMA    LMT   60.00   221680212.9669  -324883923.9445    0.00112976   158.4329   0.00032031   103.6272    0.00067201   106.8265    0.00057571
00.00000000   ALMA    SMT   60.00   305467485.6554  -382960412.3443    0.00134939  -147.3499   0.00178318    87.7872    0.00118666   -26.4378    0.00265388
00.00000000   ALMA    SPT   60.00   192189015.6867   447217145.5429    0.00074334   126.8986   0.00084384    28.8732    0.00213969  -127.8326    0.00097312
00.00000000    LMT   ALMA   60.00  -221680212.9669   324883923.9445    0.00053878    32.1716   0.00061763  -175.8701    0.00024786  -152.0209    0.00057571
00.00000000    LMT    SMT   60.00    83787272.6885   -58076488.3997    0.12253078     2.7608   0.00320281   -52.4378    0.00288161    44.6014    0.00423413
00.00000000    LMT    SPT   60.00   -29491197.2802   772101069.4875    0.00108061   121.0971   0.00274017    65.0432    0.00102547   -29.3272    0.00155257
00.00000000    SMT   ALMA   60.00  -305467485.6554   382960412.3443    0.00240990   -10.7457   0.00396897    -3.7540    0.00719488   175.0797    0.00265388
00.00000000    SMT    LMT   60.00   -83787272.6885    58076488.3997    0.12027127    -1.5102   0.00962675  -122.1513    0.00450748    69.2488    0.00423413
00.00000000    SMT    SPT   60.00  -113278469.9688   830177557.8872    0.00408261   123.8870   0.00505834   -92.3194    0.00458741   -42.4847    0.00715699
00.00000000    SPT   ALMA   60.00  -192189015.6867  -447217145.5429    0.00209622   -98.8186   0.00132990   134.0165    0.00174469   133.6817    0.00097312
00.00000000    SPT    LMT   60.00    29491197.2802  -772101069.4875    0.00242674  -152.0850   0.00121681   -41.4342    0.00086485    55.7157    0.00155257
00.00000000    SPT    SMT   60.00   113278469.9688  -830177557.8872    0.01067133   176.7888   0.00833717   -74.1470    0.01366645   -65.8069    0.00715699
00.16666667   ALMA    LMT   60.00   219068362.8288  -329545272.8965    0.00021478   113.1162   0.00055616   113.8235    0.00019670    99.5517    0.00057571
00.16666667   ALMA    SMT   60.00   305611114.6782  -389423168.5495    0.00215430  -170.6244   0.00376865   -44.9705    0.00466200   107.1079    0.00265388
00.16666667   ALMA    SPT   60.00   209328989.6260   442970698.3936    0.00115682   130.4784   0.00121464   -82.2767    0.00177581    84.7595    0.00097312
00.16666667    LMT   ALMA   60.00  -219068362.8288   329545272.8965    0.00088183    66.3382   0.00071797   171.8727    0.00006850    74.7870    0.00057571
00.16666667    LMT    SMT   60.00    86542751.8495   -59877895.6531    0.09677078     1.8645   0.00842044   -50.0562    0.00214534   -48.5992    0.00423413
00.16666667    LMT    SPT   60.00    -9739373.2027   772515971.2901    0.00210928   172.2590   0.00378515   -93.4320    0.00126443   -50.6876    0.00155257
00.16666667    SMT   ALMA   60.00  -305611114.6782   389423168.5495    0.00353162    91.0376   0.00185240   -48.7363    0.00252382   -29.7832    0.00265388
