# SRC: SgrA 
# RA: 17 h 45 m 40.0409 s
# DEC: -28 deg 59 m 31.8820 s
# MJD: 48277.0000 - 48278.0069 
# RF: 14.9000 GHz 
# BW: 4.0000 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# -------------------------------------------------------------------------------------------------------------------------------------------------
# time (hr)   T1     T2    tint    U (lambda)       V (lambda)       Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
00.33333333    SMT    SPT   60.00   -52383434.4182   552458048.9112    0.00547019    72.4357   0.00882002    65.1840    0.00600468    12.0565    0.00715699
00.33333333    SPT   ALMA   60.00  -149708904.8733  -290295654.5791    0.00167398    65.7180   0.00123688  -132.1222    0.00204067    50.4405    0.00097312
00.33333333    SPT    LMT   60.00    -6642744.7043  -511575200.8256    0.00299405   -39.0780   0.00166366   114.2290    0.00309354   131.1645    0.00155257
00.33333333    SPT    SMA   60.00   250057568.3307  -448994854.6579    0.00639597   121.5241   0.00807004  -141.1472    0.00367215    31.6336    0.00459256
00.33333333    SPT    SMT   60.00    52383434.4182  -552458048.9112    0.00521327   -41.7346   0.00560443   106.8897    0.02252383  -159.1770    0.00715699
00.50000000   ALMA    LMT   60.00   140788047.7198  -224281583.2061    0.00149416    58.2837   0.00139275   123.6400    0.00103879   -19.5357    0.00057571
00.50000000   ALMA    SMA   60.00   403217599.7133  -167191545.0851    0.00258415   -38.3379   0.00067091    -5.8875    0.00462784  -142.8634    0.00170297
00.50000000   ALMA    SMT   60.00   201417512.8310  -266429907.2172    0.00303514    40.3647   0.00370387   -10.5180    0.00265130    43.7440    0.00265388
00.50000000   ALMA    SPT   60.00   160510521.6516   287014779.5449    0.00227489    97.7704   0.00112085    16.6273    0.00125553  -159.5045    0.00097312
00.50000000    LMT   ALMA   60.00  -140788047.7198   224281583.2061    0.00014003    43.5431   0.00044073   100.0778    0.00033577   177.6166    0.00057571
00.50000000    LMT    SMA   60.00   262429551.9936    57090038.1210    0.00223898    32.3180   0.00040263    71.6675    0.00223340   102.5622    0.00271699
00.50000000    LMT    SMT   60.00    60629465.1112   -42148324.0111    0.00608981    64.1681   0.00234562   -88.9082    0.00315282   -23.0107    0.00423413
00.50000000    LMT    SPT   60.00    19722473.9318   511296362.7510    0.00242988    -3.9154   0.00318393    72.2221    0.00265793    75.4393    0.00155257
00.50000000    SMA   ALMA   60.00  -403217599.7133   167191545.0851    0.00254614  -176.5999   0.00012162    81.1214    0.00229370   116.8005    0.00170297
00.50000000    SMA    LMT   60.00  -262429551.9936   -57090038.1210    0.00211105   -89.1780   0.00394140   -20.5895    0.00621134    95.2253    0.00271699
00.50000000    SMA    SMT   60.00  -201800086.8823   -99238362.1321    0.02277897   111.9277   0.02014354    99.5115    0.02270277  -159.3706    0.01252473
00.50000000    SMA    SPT   60.00  -242707078.0618   454206324.6300    0.00435471  -142.2203   0.00852739    25.5091    0.00359418   160.6721    0.00459256
00.50000000    SMT   ALMA   60.00  -201417512.8310   266429907.2172    0.00207105   149.3012   0.00411182     6.2814    0.00244703    36.5311    0.00265388
00.50000000    SMT    LMT   60.00   -60629465.1112    42148324.0111    0.00766944   147.1502   0.00470059     1.7557    0.00889986   113.7293    0.00423413
00.50000000    SMT    SMA   60.00   201800086.8823    99238362.1321    0.03327427   179.5450   0.00887052    86.3000    0.01064533   167.1902    0.01252473
00.50000000    SMT    SPT   60.00   -40906991.1794   553444686.7621    0.00954564   164.7544   0.00470035   -80.4523    0.00261769  -177.2095    0.00715699
00.50000000    SPT   ALMA   60.00  -160510521.6516  -287014779.5449    0.00243302   169.1264   0.00050424   -90.4958    0.00053455    50.5406    0.00097312
00.50000000    SPT    LMT   60.00   -19722473.9318  -511296362.7510    0.00229400  -118.9174   0.00018950    54.9145    0.00357114    73.7610    0.00155257
00.50000000    SPT    SMA   60.00   242707078.0618  -454206324.6300    0.00912684    32.3949   0.00489050   132.0360    0.01038613   106.6638    0.00459256
00.50000000    SPT    SMT   60.00    40906991.1794  -553444686.7621    0.01371731  -167.7212   0.00192795   -39.5942    0.00669957    31.1965    0.00715699
00.66666667   ALMA    LMT   60.00   138241937.2198  -227232599.2712    0.00232436    97.9233   0.00051546    94.9254    0.00042863   -30.0793    0.00057571
00.66666667   ALMA    SMA   60.00   405901178.6043  -175748770.6245    0.00086994  -128.0278   0.00290253   -32.1427    0.00294260   114.8650    0.00170297
00.66666667   ALMA    SMT   60.00   200359276.6870  -270679091.2635    0.00506534   108.0490   0.00339513  -134.3723    0.00441508  -143.5414    0.00265388
00.66666667   ALMA    SPT   60.00   171006597.5291   283508660.4990    0.00208734   173.1438   0.00228479  -108.2966    0.00099349  -128.7283    0.00097312
00.66666667    LMT   ALMA   60.00  -138241937.2198   227232599.2712    0.00107192  -116.3574   0.00043067   155.5728    0.00064595  -118.5430    0.00057571
00.66666667    LMT    SMA   60.00   267659241.3845    51483828.6466    0.00330746   170.4206   0.00311912  -164.7415    0.00558943  -164.0610    0.00271699
00.66666667    LMT    SMT   60.00    62117339.4672   -43446491.9923    0.00216156   117.5309   0.00522546     4.7738    0.00717233  -111.7812    0.00423413
00.66666667    LMT    SPT   60.00    32764660.3093   510741259.7702    0.00233547    65.5204   0.00288383  -151.9819    0.00238468  -130.3898    0.00155257
00.66666667    SMA   ALMA   60.00  -405901178.6043   175748770.6245    0.00121073   109.6079   0.00370708   -39.7111    0.00164853   153.6487    0.00170297
00.66666667    SMA    LMT   60.00  -267659241.3845   -51483828.6466    0.00318564   -58.1275   0.00195145   133.3831    0.00553638  -102.8228    0.00271699
00.66666667    SMA    SMT   60.00  -205541901.9173   -94930320.6390    0.02146360   111.6687   0.01857978    66.8731    0.00905108  -104.4678    0.01252473
00.66666667    SMA    SPT   60.00  -234894581.0752   459257431.1236    0.01108854    90.8918   0.01210848   140.9963    0.01178571    24.2661    0.00459256
00.66666667    SMT   ALMA   60.00  -200359276.6870   270679091.2635    0.00431199   -42.5511   0.00209345    36.3716    0.00440675    14.3183    0.00265388
00.66666667    SMT    LMT   60.00   -62117339.4672    43446491.9923    0.00453536    37.0968   0.00899047    30.9180    0.00444023   135.1255    0.00423413
00.66666667    SMT    SMA   60.00   205541901.9173    94930320.6390    0.01087000    52.3418   0.01109729    20.4980    0.01628541  -141.1874    0.01252473
00.66666667    SMT    SPT   60.00   -29352679.1579   554187751.7626    0.00492734   -83.4510   0.01494734    83.5801    0.00286643   119.0831    0.00715699
00.66666667    SPT   ALMA   60.00  -171006597.5291  -283508660.4990    0.00062071   -71.5620   0.00011498  -116.8070    0.00059901    74.7065    0.00097312
00.66666667    SPT    LMT   60.00   -32764660.3093  -510741259.7702    0.00214853    82.5479   0.00175963  -131.6356    0.00448773   -81.2971    0.00155257
00.66666667    SPT    SMA   60.00   234894581.0752  -459257431.1236    0.00396216   162.4049   0.00867605   129.5931    0.00932795   -12.6630    0.00459256
00.66666667    SPT    SMT   60.00    29352679.1579  -554187751.7626    0.00513703    80.8745   0.00991334    10.8051    0.00764794   131.0303    0.00715699
00.83333333   ALMA    LMT   60.00   135432675.3352  -230126977.0150    0.00027143   130.4685   0.00137760    87.4886    0.00045084   151.2989    0.00057571
00.83333333   ALMA    SMA   60.00   407812101.5318  -184354587.5320    0.00349123    20.4140   0.00057338   144.3449    0.00159615  -110.1784    0.00170297
00.83333333   ALMA    SMT   60.00   198919645.2721  -274901857.9078    0.00309895   -41.5509   0.00233948   -89.4071    0.00362516  -116.0488    0.00265388
00.83333333   ALMA    SPT   60.00   181177152.6288   279783971.5384    0.00141545   138.4899   0.00103653   138.6131    0.00064144    35.5962    0.00097312
00.83333333    LMT   ALMA   60.00  -135432675.3352   230126977.0150    0.00062122   148.3799   0.00037027   -93.2856    0.00121730   -78.7927    0.00057571
00.83333333    LMT    SMA   60.00   272379426.1966    45772389.4830    0.00171326  -143.9458   0.00712573    52.5684    0.00023218   144.4546    0.00271699
00.83333333    LMT    SMT   60.00    63486969.9369   -44774880.8928    0.00662603   -16.8169   0.00816674    81.5223    0.00148508  -169.7481    0.00423413
00.83333333    LMT    SPT   60.00    45744477.2936   509910948.5534    0.00075200  -133.7686   0.00250099  -134.5702    0.00034502  -116.6888    0.00155257
00.83333333    SMA   ALMA   60.00  -407812101.5318   184354587.5320    0.00068549    16.7925   0.00186755   -46.9070    0.00222838   174.5058    0.00170297
00.83333333    SMA    LMT   60.00  -272379426.1966   -45772389.4830    0.00279761  -100.6044   0.00256751   173.2475    0.00527791   112.3821    0.00271699
00.83333333    SMA    SMT   60.00  -208892456.2597   -90547270.3758    0.02566825    44.9035   0.01697077   -33.3896    0.01822447    93.0266    0.01252473
00.83333333    SMA    SPT   60.00  -226634948.9030   464138559.0704    0.00923581    40.3502   0.00654839   -32.2916    0.00736426    79.0133    0.00459256
00.83333333    SMT   ALMA   60.00  -198919645.2721   274901857.9078    0.00462917    63.9021   0.00188667   -35.2962    0.00104548    34.7687    0.00265388
00.83333333    SMT    LMT   60.00   -63486969.9369    44774880.8928    0.00271597   101.8018   0.00362584   119.3279    0.00465840   158.4593    0.00423413
00.83333333    SMT    SMA   60.00   208892456.2597    90547270.3758    0.01188497  -102.1449   0.00092538  -161.8520    0.01201818  -118.2417    0.01252473
00.83333333    SMT    SPT   60.00   -17742492.6433   554685829.4462    0.00515736   106.7821   0.00385754    57.9544    0.00513334   -49.2988    0.00715699
00.83333333    SPT   ALMA   60.00  -181177152.6288  -279783971.5384    0.00200311     8.7037   0.00377530  -174.1771    0.00159663  -174.9319    0.00097312
00.83333333    SPT    LMT   60.00   -45744477.2936  -509910948.5534    0.00179072   -72.6555   0.00164106    52.4807    0.00271719   -69.6345    0.00155257
00.83333333    SPT    SMA   60.00   226634948.9030  -464138559.0704    0.00207087   -49.4795   0.00070620   107.5640    0.00786171  -135.3110    0.00459256
00.83333333    SPT    SMT   60.00    17742492.6433  -554685829.4462    0.00857478     3.6711   0.00386690    82.7842    0.01995579   111.3033    0.00715699
01.00000000   ALMA    LMT   60.00   132365609.6556  -232959206.8249    0.00040288  -146.6413   0.00023990  -126.9003    0.00050499   -59.9054    0.00057571
01.00000000   ALMA    SMA   60.00   408946730.9455  -192992614.1458    0.00169681   171.7527   0.00202001     0.2357    0.00103003   -86.5731    0.00170297
01.00000000   ALMA    SMT   60.00   197101359.0066  -279090168.8738    0.00414437    41.9045   0.00275843    72.2032    0.00192580   -20.2203    0.00265388
01.00000000   ALMA    SPT   60.00   191002826.7210   275847802.8202    0.00213305    85.0675   0.00174159   -19.4374    0.00147329   130.2762    0.00097312
01.00000000    LMT   ALMA   60.00  -132365609.6556   232959206.8249    0.00072686    96.2389   0.00060340   -56.3045    0.00081371     9.2980    0.00057571
01.00000000    LMT    SMA   60.00   276581121.2900    39966592.6791    0.00377221    50.7465   0.00302643   -68.3390    0.00348124   -53.3778    0.00271699
01.00000000    LMT    SMT   60.00    64735749.3510   -46130962.0488    0.00427857    83.9476   0.00845336   109.3741    0.00245306    91.0750    0.00423413
01.00000000    LMT    SPT   60.00    58637217.0655   508807009.6451    0.00251133    34.6566   0.00123361   -86.3362    0.00101221   -16.3330    0.00155257
01.00000000    SMA   ALMA   60.00  -408946730.9455   192992614.1458    0.00299981   129.3672   0.00319065    33.0279    0.00171742    46.1272    0.00170297
01.00000000    SMA    LMT   60.00  -276581121.2900   -39966592.6791    0.00045378    58.8286   0.00218107  -118.7337    0.00290881   174.3053    0.00271699
01.00000000    SMA    SMT   60.00  -211845371.9389   -86097554.7280    0.01491061    56.5078   0.00555842   100.3762    0.00959041   -47.3060    0.01252473
01.00000000    SMA    SPT   60.00  -217943904.2245   468840416.9660    0.01038038   -80.6777   0.00410420    74.2412    0.00413229   -90.7213    0.00459256
01.00000000    SMT   ALMA   60.00  -197101359.0066   279090168.8738    0.00325470   -86.6977   0.00475914   -68.8141    0.00236985    86.3998    0.00265388
01.00000000    SMT    LMT   60.00   -64735749.3510    46130962.0488    0.00781920    45.8890   0.00350943    11.8635    0.01163713  -142.7487    0.00423413
01.00000000    SMT    SMA   60.00   211845371.9389    86097554.7280    0.02878105    87.0346   0.01825043  -100.3663    0.01075165    65.8183    0.01252473
01.00000000    SMT    SPT   60.00    -6098532.2856   554937971.6939    0.01007614  -164.7608   0.01200638   128.8045    0.00661650    38.6727    0.00715699
01.00000000    SPT   ALMA   60.00  -191002826.7210  -275847802.8202    0.00148431   -42.3752   0.00046739    21.6488    0.00055317    99.0108    0.00097312
01.00000000    SPT    LMT   60.00   -58637217.0655  -508807009.6451    0.00152525   -41.9734   0.00272406   -67.3299    0.00173528    83.9721    0.00155257
01.00000000    SPT    SMA   60.00   217943904.2245  -468840416.9660    0.00460672    85.8561   0.00561963   135.5666    0.00841021  -168.6829    0.00459256
01.00000000    SPT    SMT   60.00     6098532.2856  -554937971.6939    0.00614064    14.9130   0.01459025   132.9620    0.00326951   106.4506    0.00715699
01.16666667   ALMA    LMT   60.00   129046578.5148  -235723897.3906    0.00032551   -61.1738   0.00015681    30.7500    0.00121201  -105.0093    0.00057571
01.16666667   ALMA    SMA   60.00   409302907.0139  -201646407.4914    0.00311212   -20.5208   0.00158525   -66.7204    0.00290818   -56.8009    0.00170297
01.16666667   ALMA    SMT   60.00   194907879.1017  -283236051.4734    0.00394074    34.7375   0.00443466   -75.7650    0.00490957  -125.6125    0.00265388
01.16666667   ALMA    SPT   60.00   200464916.0767   271707647.0651    0.00088126   158.6268   0.00188912  -150.8395    0.00095348  -158.1465    0.00097312
01.16666667    LMT   ALMA   60.00  -129046578.5148   235723897.3906    0.00118107  -155.2084   0.00110114   -81.0809    0.00058154   -36.1636    0.00057571
01.16666667    LMT    SMA   60.00   280256328.4991    34077489.8992    0.00671577  -107.9909   0.00070391   -97.4601    0.00439356  -159.6395    0.00271699
01.16666667    LMT    SMT   60.00    65861300.5869   -47512154.0827    0.00611809   156.9692   0.00550154   111.5973    0.00482446  -130.2881    0.00423413
01.16666667    LMT    SPT   60.00    71418337.5619   507431544.4558    0.00191992    30.8083   0.00225645   167.5659    0.00299934   -77.1915    0.00155257
01.16666667    SMA   ALMA   60.00  -409302907.0139   201646407.4914    0.00404597   -62.2865   0.00228442    92.7175    0.00223632     8.0152    0.00170297
01.16666667    SMA    LMT   60.00  -280256328.4991   -34077489.8992    0.00367590  -178.4207   0.00233212   155.0007    0.00349686  -158.3519    0.00271699
01.16666667    SMA    SMT   60.00  -214395027.9122   -81589643.9820    0.01400717   -18.1591   0.02188981   -96.0060    0.02098607    63.0324    0.01252473
01.16666667    SMA    SPT   60.00  -208837990.9372   473354054.5565    0.01308816  -133.5650   0.01186490  -111.5877    0.00244544    58.3549    0.00459256
01.16666667    SMT   ALMA   60.00  -194907879.1017   283236051.4734    0.00176205  -162.7582   0.00378540  -107.9003    0.00705566   155.6744    0.00265388
01.16666667    SMT    LMT   60.00   -65861300.5869    47512154.0827    0.00206112   -26.7762   0.00051990   133.6183    0.00207240   -19.3563    0.00423413
01.16666667    SMT    SMA   60.00   214395027.9122    81589643.9820    0.02037498   109.3800   0.01168289   135.4586    0.03952750   -49.4780    0.01252473
01.16666667    SMT    SPT   60.00     5557036.9750   554943698.5385    0.01069324    67.2877   0.01195999    49.4310    0.00283672   -13.2635    0.00715699
01.16666667    SPT   ALMA   60.00  -200464916.0767  -271707647.0651    0.00223213    38.5713   0.00083030    37.5053    0.00117510  -150.5195    0.00097312
01.16666667    SPT    LMT   60.00   -71418337.5619  -507431544.4558    0.00212485   125.8997   0.00216683   -52.9187    0.00077248   120.5020    0.00155257
01.16666667    SPT    SMA   60.00   208837990.9372  -473354054.5565    0.00672300   -48.4021   0.00975712   -59.4222    0.01122097  -173.1696    0.00459256
01.16666667    SPT    SMT   60.00    -5557036.9750  -554943698.5385    0.00568187   123.1192   0.00711445   -21.5392    0.00487344    10.0905    0.00715699
01.33333333   ALMA    LMT   60.00   125481899.8773  -238415785.9664    0.00089770   -44.7711   0.00126932   163.9491    0.00135930   -82.5041    0.00057571
01.33333333   ALMA    SMA   60.00   408879951.7355  -210299494.5813    0.00189073  -123.5858   0.00224839   -26.0488    0.00489829    85.8971    0.00170297
01.33333333   ALMA    SMT   60.00   192343380.9712  -287331613.7835    0.00232004   -44.7469   0.00067035   -63.4002    0.00394869    85.5142    0.00265388
01.33333333   ALMA    SPT   60.00   209545409.0710   267371385.2952    0.00174705   -16.2617   0.00115068   140.4282    0.00083736    55.8909    0.00097312
01.33333333    LMT   ALMA   60.00  -125481899.8773   238415785.9664    0.00161944   106.5884   0.00051106  -112.4000    0.00069290    98.8156    0.00057571
01.33333333    LMT    SMA   60.00   283398051.8582    28116291.3852    0.00122587  -148.8015   0.00427809    41.2018    0.00211172  -119.2596    0.00271699
01.33333333    LMT    SMT   60.00    66861481.0938   -48915827.8170    0.00218061    10.0449   0.00898330    72.6107    0.00874828  -130.9819    0.00423413
01.33333333    LMT    SPT   60.00    84063509.1937   505787171.2616    0.00121512  -141.2746   0.00137309   -90.2036    0.00157435    92.4748    0.00155257
01.33333333    SMA   ALMA   60.00  -408879951.7355   210299494.5813    0.00050514    56.8447   0.00403570  -126.7812    0.00293130  -120.0258    0.00170297
01.33333333    SMA    LMT   60.00  -283398051.8582   -28116291.3852    0.00333085  -176.4749   0.00554162   158.4373    0.00099937    61.6209    0.00271699
01.33333333    SMA    SMT   60.00  -216536570.7644   -77032119.2022    0.02285110   126.9925   0.01028935   -82.8984    0.02646876   -87.1830    0.01252473
01.33333333    SMA    SPT   60.00  -199334542.6645   477670879.8764    0.00048036  -104.8897   0.00457445   -29.3853    0.00711776    14.7690    0.00459256
01.33333333    SMT   ALMA   60.00  -192343380.9712   287331613.7835    0.00245500   -72.8907   0.00250253    20.2350    0.00296222    89.2999    0.00265388
01.33333333    SMT    LMT   60.00   -66861481.0938    48915827.8170    0.00446755   -98.1096   0.00916591    38.5416    0.00808230   -42.1979    0.00423413
01.33333333    SMT    SMA   60.00   216536570.7644    77032119.2022    0.02684447   -52.6477   0.02058125   137.8048    0.01247217    37.7244    0.01252473
01.33333333    SMT    SPT   60.00    17202028.0998   554702999.0786    0.01618098   -21.2778   0.00270333   -18.1290    0.00085892    72.5578    0.00715699
01.33333333    SPT   ALMA   60.00  -209545409.0710  -267371385.2952    0.00186890  -103.1881   0.00159054  -150.1396    0.00094590    38.0166    0.00097312
