# SRC: SgrA 
# RA: 17 h 45 m 40.0409 s
# DEC: -28 deg 59 m 31.8820 s
# MJD: 48277.0000 - 48278.0069 
# RF: 8.4500 GHz 
# BW: 4.0000 GHz 
# PHASECAL: 1 
# AMPCAL: 1 
# -------------------------------------------------------------------------------------------------------------------------------------------------
# time (hr)   T1     T2    tint    U (lambda)       V (lambda)       Iamp (Jy)    Iphase(d)  Qamp (Jy)    Qphase(d)   Uamp (Jy)    Uphase(d)   sigma (Jy)
00.00000000   ALMA    LMT   60.00    83253235.5365  -122011962.5481    0.00055910    90.9335   0.00036722   -23.1832    0.00126314   -61.1427    0.00057571
00.00000000   ALMA    SMT   60.00   114720011.2795  -143822910.4137    0.00371051   147.2519   0.00141363   -36.8742    0.00275818   -14.1749    0.00265388
00.00000000   ALMA    SPT   60.00    72177652.5579   167954883.5483    0.00026702   -36.6341   0.00264472   -42.3254    0.00126191     4.7239    0.00097312
00.00000000    LMT   ALMA   60.00   -83253235.5365   122011962.5481    0.00100475   104.4540   0.00049060    62.6291    0.00034036    44.8787    0.00057571
00.00000000    LMT    SMT   60.00    31466775.7430   -21810947.8657    0.00815815   -98.8164   0.00688398     0.0567    0.00634873   109.4602    0.00423413
00.00000000    LMT    SPT   60.00   -11075582.9786   289966846.0964    0.00388890   -38.3465   0.00296460  -147.3833    0.00096338   141.8166    0.00155257
00.00000000    SMT   ALMA   60.00  -114720011.2795   143822910.4137    0.00162231    30.9820   0.00348795   108.9874    0.00256116   109.8659    0.00265388
00.00000000    SMT    LMT   60.00   -31466775.7430    21810947.8657    0.00491980   121.5493   0.00968341    13.3500    0.00345813  -142.1959    0.00423413
00.00000000    SMT    SPT   60.00   -42542358.7216   311777793.9621    0.00442393    64.9064   0.02060304    88.1373    0.00956571   -19.2274    0.00715699
00.00000000    SPT   ALMA   60.00   -72177652.5579  -167954883.5483    0.00145919   -31.7957   0.00072602   -18.0124    0.00120526    78.7281    0.00097312
00.00000000    SPT    LMT   60.00    11075582.9786  -289966846.0964    0.00018221     4.6695   0.00208048  -163.6097    0.00172899   171.1850    0.00155257
00.00000000    SPT    SMT   60.00    42542358.7216  -311777793.9621    0.01688342     9.2948   0.01052234   152.2223    0.01672845   113.6830    0.00715699
00.16666667   ALMA    LMT   60.00    82272340.7068  -123762558.0433    0.00018094   163.9348   0.00070944   -93.9105    0.00081528  -128.8361    0.00057571
00.16666667   ALMA    SMT   60.00   114773951.9569  -146250034.4108    0.00725093   148.8896   0.00322483   -28.0140    0.00586386  -135.5084    0.00265388
00.16666667   ALMA    SPT   60.00    78614664.9929   166360106.7301    0.00067825    -7.1927   0.00055798   147.0526    0.00039353    26.4826    0.00097312
00.16666667    LMT   ALMA   60.00   -82272340.7068   123762558.0433    0.00019823   -61.0668   0.00025168  -104.6920    0.00079035  -140.4129    0.00057571
00.16666667    LMT    SMT   60.00    32501611.2501   -22487476.3675    0.00554390     8.7350   0.00416707  -123.3131    0.00545095    32.8744    0.00423413
00.16666667    LMT    SPT   60.00    -3657675.7139   290122664.7734    0.00103942   146.8968   0.00300975     2.3684    0.00049051  -116.9613    0.00155257
00.16666667    SMT   ALMA   60.00  -114773951.9569   146250034.4108    0.00042454   170.1056   0.00178003   -39.9799    0.00286510    69.8953    0.00265388
00.16666667    SMT    LMT   60.00   -32501611.2501    22487476.3675    0.00342588  -122.3838   0.00358475   143.8752    0.00418332    39.6432    0.00423413
00.16666667    SMT    SPT   60.00   -36159286.9640   312610141.1409    0.01026179   101.3120   0.00943930   105.4640    0.01174051   -69.1264    0.00715699
00.16666667    SPT   ALMA   60.00   -78614664.9929  -166360106.7301    0.00093769    67.7756   0.00033998    72.9755    0.00208383   152.4784    0.00097312
00.16666667    SPT    LMT   60.00     3657675.7139  -290122664.7734    0.00162472   133.6650   0.00216786    99.6362    0.00298850    55.9627    0.00155257
00.16666667    SPT    SMT   60.00    36159286.9640  -312610141.1409    0.00504694   -60.8321   0.00817865  -163.3624    0.00138142    58.0676    0.00715699
00.33333333   ALMA    LMT   60.00    81134835.8006  -125490749.3814    0.00048233   -74.5046   0.00051680   -46.7981    0.00131177   155.5816    0.00057571
00.33333333   ALMA    SMA   60.00   226713201.2465   -90000553.0648    0.00124354   -57.7554   0.00415560    84.1766    0.00093669   106.1737    0.00170297
00.33333333   ALMA    SMT   60.00   114609413.8935  -148675988.7320    0.00085511   -12.5696   0.00156572   110.9912    0.00225573  -140.4979    0.00265388
00.33333333   ALMA    SPT   60.00    84902029.9449   164630757.1271    0.00098984   -76.5012   0.00289520     3.7610    0.00089476    40.7343    0.00097312
00.33333333    LMT   ALMA   60.00   -81134835.8006   125490749.3814    0.00067125    49.3911   0.00056914    55.6189    0.00055356   140.5726    0.00057571
00.33333333    LMT    SMA   60.00   145578365.4460    35490196.3166    0.00578442   173.6304   0.00136601   -33.0570    0.00150769  -160.1303    0.00271699
00.33333333    LMT    SMT   60.00    33474578.0930   -23185239.3506    0.00978725  -144.2691   0.00513061   147.3721    0.00405173    74.1171    0.00423413
00.33333333    LMT    SPT   60.00     3767194.1444   290121506.5085    0.00201281   -57.3065   0.00035595   118.9284    0.00223082   -90.7199    0.00155257
00.33333333    SMA   ALMA   60.00  -226713201.2465    90000553.0648    0.00279918    14.3185   0.00280856    34.5127    0.00112073    -7.2796    0.00170297
00.33333333    SMA    LMT   60.00  -145578365.4460   -35490196.3166    0.00134026   115.2825   0.00350112   178.0405    0.00218129  -158.8750    0.00271699
00.33333333    SMA    SMT   60.00  -112103787.3530   -58675435.6672    0.02068254     6.6647   0.00742675   -28.8657    0.01159929   137.7938    0.01252473
00.33333333    SMA    SPT   60.00  -141811171.3016   254631310.1919    0.00344316   117.7633   0.01413842   131.5432    0.00670105    38.9698    0.00459256
00.33333333    SMT   ALMA   60.00  -114609413.8935   148675988.7320    0.00211434   154.9229   0.00640333   179.6052    0.00508814   -54.1984    0.00265388
00.33333333    SMT    LMT   60.00   -33474578.0930    23185239.3506    0.00268242    32.4105   0.00703339   -70.6403    0.00416647     9.8359    0.00423413
00.33333333    SMT    SMA   60.00   112103787.3530    58675435.6672    0.00832230     4.0308   0.02009177   104.4387    0.01449833     4.0633    0.01252473
00.33333333    SMT    SPT   60.00   -29707383.9486   313306745.8591    0.00674000   143.7620   0.01093997   165.1725    0.00715002    59.3341    0.00715699
00.33333333    SPT   ALMA   60.00   -84902029.9449  -164630757.1271    0.00087070   -28.6135   0.00091476  -122.6374    0.00104776     2.5249    0.00097312
00.33333333    SPT    LMT   60.00    -3767194.1444  -290121506.5085    0.00122268   -32.7200   0.00393365   -78.6888    0.00297506  -123.6034    0.00155257
00.33333333    SPT    SMA   60.00   141811171.3016  -254631310.1919    0.00577850  -167.5663   0.00379573   130.6198    0.00608040    47.2927    0.00459256
00.33333333    SPT    SMT   60.00    29707383.9486  -313306745.8591    0.00787331    28.0613   0.00894448   102.4867    0.01099826   -77.0325    0.00715699
00.50000000   ALMA    LMT   60.00    79842886.1230  -127193246.8518    0.00026030    78.7845   0.00112278   -38.4255    0.00007049    94.8262    0.00057571
00.50000000   ALMA    SMA   60.00   228670383.7300   -94816681.6087    0.00356632   152.1216   0.00316812   -50.0777    0.00301223   -29.7818    0.00170297
00.50000000   ALMA    SMT   60.00   114226710.2968  -151096155.4352    0.00209021   -43.7539   0.00419232    29.2112    0.00354275   -41.3132    0.00265388
00.50000000   ALMA    SPT   60.00    91027779.0574   162770126.6547    0.00103841  -129.7316   0.00119927   132.1580    0.00149986   -21.1054    0.00097312
00.50000000    LMT   ALMA   60.00   -79842886.1230   127193246.8518    0.00036081  -137.9587   0.00134187    -1.0699    0.00059324   -67.2693    0.00057571
00.50000000    LMT    SMA   60.00   148827497.6071    32376565.2431    0.00219462    26.9807   0.00361841  -102.1743    0.00178603    88.9136    0.00271699
00.50000000    LMT    SMT   60.00    34383824.1738   -23902908.5835    0.00588332    80.0857   0.00920304   -71.7410    0.00200900   -58.0703    0.00423413
00.50000000    LMT    SPT   60.00    11184892.9345   289963373.5064    0.00143184   153.5965   0.00280368   -23.8207    0.00303562     4.5455    0.00155257
00.50000000    SMA   ALMA   60.00  -228670383.7300    94816681.6087    0.00140134   -96.5259   0.00324627    69.7013    0.00109438   -61.0668    0.00170297
00.50000000    SMA    LMT   60.00  -148827497.6071   -32376565.2431    0.00742359    66.1755   0.00205711  -171.7796    0.00099596    30.1686    0.00271699
00.50000000    SMA    SMT   60.00  -114443673.4333   -56279473.8266    0.01687120  -130.2654   0.01206578   -42.9271    0.01557806  -123.2382    0.01252473
00.50000000    SMA    SPT   60.00  -137642604.6726   257586808.2633    0.00853292   158.4840   0.00701615  -121.0238    0.01012273    90.5820    0.00459256
00.50000000    SMT   ALMA   60.00  -114226710.2968   151096155.4352    0.00355912   150.0685   0.00242220    47.2837    0.00765312  -129.8448    0.00265388
00.50000000    SMT    LMT   60.00   -34383824.1738    23902908.5835    0.00567652  -114.4413   0.00345706   -30.6217    0.00756551   -39.3691    0.00423413
00.50000000    SMT    SMA   60.00   114443673.4333    56279473.8266    0.02463589   109.5815   0.02910090   114.3291    0.01716426   -42.5289    0.01252473
00.50000000    SMT    SPT   60.00   -23198931.2393   313866282.0899    0.01168222    74.5810   0.00887932  -121.1893    0.01485208  -151.7625    0.00715699
00.50000000    SPT   ALMA   60.00   -91027779.0574  -162770126.6547    0.00034640    86.7469   0.00049622    55.0922    0.00106953  -121.9868    0.00097312
00.50000000    SPT    LMT   60.00   -11184892.9345  -289963373.5064    0.00166959   -81.7173   0.00141871   -57.5660    0.00155276     6.8779    0.00155257
00.50000000    SPT    SMA   60.00   137642604.6726  -257586808.2633    0.00678955   142.3969   0.00413181     3.3838    0.00452942  -169.0195    0.00459256
00.50000000    SPT    SMT   60.00    23198931.2393  -313866282.0899    0.01178143    18.9820   0.00866225   -75.4479    0.00624169   -68.5656    0.00715699
00.66666667   ALMA    LMT   60.00    78398950.9736  -128866809.6538    0.00020264   -79.2803   0.00089178   131.0423    0.00091161    42.1858    0.00057571
00.66666667   ALMA    SMA   60.00   230192279.1413   -99669604.8173    0.00156537    57.4521   0.00136741    57.5784    0.00303618   163.5534    0.00170297
00.66666667   ALMA    SMT   60.00   113626569.6648  -153505927.5958    0.00078643   165.2380   0.00478429  -136.0432    0.00315718    24.3646    0.00265388
00.66666667   ALMA    SPT   60.00    96980251.6188   160781757.1286    0.00094123  -141.4279   0.00128475    86.7463    0.00116374   -36.3204    0.00097312
00.66666667    LMT   ALMA   60.00   -78398950.9736   128866809.6538    0.00032206   -65.2476   0.00067931    12.8937    0.00044347   126.1720    0.00057571
00.66666667    LMT    SMA   60.00   151793328.1677    29197204.8365    0.00147309    14.4193   0.00286441    -1.9249    0.00396057   142.1969    0.00271699
00.66666667    LMT    SMT   60.00    35227618.6911   -24639117.9420    0.00422031    -4.1873   0.00793001   -30.0176    0.00288068    24.4325    0.00423413
00.66666667    LMT    SPT   60.00    18581300.6452   289648566.7824    0.00211661    68.1998   0.00390145   -30.4379    0.00189928     4.9394    0.00155257
00.66666667    SMA   ALMA   60.00  -230192279.1413    99669604.8173    0.00145987    97.9896   0.00306964    30.9185    0.00335565   -94.0643    0.00170297
00.66666667    SMA    LMT   60.00  -151793328.1677   -29197204.8365    0.00212923   133.6187   0.00061083   140.8937    0.00353088   -11.2766    0.00271699
00.66666667    SMA    SMT   60.00  -116565709.4766   -53836322.7785    0.01157748  -160.9234   0.01749513  -111.4426    0.01965426   149.9929    0.01252473
00.66666667    SMA    SPT   60.00  -133212027.5225   260451361.9459    0.00568242   -73.6341   0.00122090     7.7821    0.00280996    79.0396    0.00459256
00.66666667    SMT   ALMA   60.00  -113626569.6648   153505927.5958    0.00074893    -8.1665   0.00376151   105.3049    0.00360389   129.5579    0.00265388
00.66666667    SMT    LMT   60.00   -35227618.6911    24639117.9420    0.00322964    34.7028   0.00439534  -162.9955    0.00763594   -95.8770    0.00423413
00.66666667    SMT    SMA   60.00   116565709.4766    53836322.7785    0.02617067  -105.7544   0.01484815   -92.4994    0.00616439    98.1268    0.01252473
00.66666667    SMT    SPT   60.00   -16646318.0459   314287684.7244    0.00317471   -31.3147   0.00451984  -115.0181    0.00754441  -149.3965    0.00715699
00.66666667    SPT   ALMA   60.00   -96980251.6188  -160781757.1286    0.00124648    54.1050   0.00028631   174.4420    0.00173909  -111.7618    0.00097312
00.66666667    SPT    LMT   60.00   -18581300.6452  -289648566.7824    0.00180406    85.7966   0.00254498   -97.5218    0.00240798   -10.2258    0.00155257
00.66666667    SPT    SMA   60.00   133212027.5225  -260451361.9459    0.00632776    60.1213   0.00783852   -95.6413    0.00218880   147.5635    0.00459256
00.66666667    SPT    SMT   60.00    16646318.0459  -314287684.7244    0.00443708    44.7086   0.00145181  -122.5928    0.00511983   153.4135    0.00715699
00.83333333   ALMA    LMT   60.00    76805778.9653  -130508252.0655    0.00047886   141.5460   0.00016463    95.0616    0.00117618  -123.4742    0.00057571
00.83333333   ALMA    SMA   60.00   231275990.4660  -104550084.8755    0.00272878  -131.4520   0.00159405   -81.0385    0.00298079   -23.0081    0.00170297
00.83333333   ALMA    SMT   60.00   112810134.3993  -155900718.0752    0.00976179   177.2151   0.00255973    37.5358    0.00254323  -107.6152    0.00265388
00.83333333   ALMA    SPT   60.00   102748116.7593   158669433.5235    0.00034096  -115.9288   0.00295817   -60.9854    0.00176766  -164.8963    0.00097312
00.83333333    LMT   ALMA   60.00   -76805778.9653   130508252.0655    0.00049615    60.3142   0.00021354  -157.0509    0.00041784   -47.6759    0.00057571
00.83333333    LMT    SMA   60.00   154470211.5008    25958167.1900    0.00304313    80.0790   0.00083903   -98.4783    0.00429236   -18.5732    0.00271699
00.83333333    LMT    SMT   60.00    36004355.4340   -25392466.0097    0.00320003    51.4890   0.00638860  -169.0078    0.00858226    23.8580    0.00423413
00.83333333    LMT    SPT   60.00    25942337.7940   289177685.5890    0.00269443   141.0423   0.00151977     6.2356    0.00176884  -141.9237    0.00155257
00.83333333    SMA   ALMA   60.00  -231275990.4660   104550084.8755    0.00417873   154.1566   0.00074890   -25.6383    0.00033672    -8.9718    0.00170297
00.83333333    SMA    LMT   60.00  -154470211.5008   -25958167.1900    0.00089762  -169.9489   0.00526872   -40.6869    0.00285326  -106.4547    0.00271699
00.83333333    SMA    SMT   60.00  -118465856.0667   -51350633.1997    0.01900335    91.2731   0.00680936    33.7048    0.01883097  -153.0265    0.01252473
00.83333333    SMA    SPT   60.00  -128527873.7067   263219518.3990    0.00509626   -69.2403   0.00706277   170.7805    0.01360888  -138.7096    0.00459256
00.83333333    SMT   ALMA   60.00  -112810134.3993   155900718.0752    0.00354675   179.7959   0.00059801  -129.5957    0.00524837    65.5879    0.00265388
00.83333333    SMT    LMT   60.00   -36004355.4340    25392466.0097    0.00435968  -122.8862   0.00638656  -109.8889    0.00611819   152.6725    0.00423413
00.83333333    SMT    SMA   60.00   118465856.0667    51350633.1997    0.01767780   -69.6016   0.01752841   116.4397    0.02441474  -167.9242    0.01252473
00.83333333    SMT    SPT   60.00   -10062017.6400   314570151.5987    0.01955610   147.8725   0.01169629   -46.1123    0.00572095    89.5382    0.00715699
00.83333333    SPT   ALMA   60.00  -102748116.7593  -158669433.5235    0.00090380  -104.7231   0.00060144    78.1300    0.00057236   -54.4462    0.00097312
00.83333333    SPT    LMT   60.00   -25942337.7940  -289177685.5890    0.00078574    91.7692   0.00146479   114.4975    0.00213589    15.5026    0.00155257
